0 ,20.400917 ,7247 , 12.796 ,  3.127 ,  3.013 ,0.147441
5 ,24.267839 ,7903 , 12.554 ,  3.167 ,  2.873 ,0.160787
10 ,28.329277 ,9584 , 14.240 ,  3.337 ,  2.981 ,0.194987
15 ,30.550135 ,11216 , 18.113 ,  3.584 ,  3.020 ,0.228190
20 ,32.412636 ,12724 , 13.061 ,  3.200 ,  3.084 ,0.258870
25 ,33.812813 ,14245 , 13.570 ,  3.200 ,  3.496 ,0.289815
30 ,34.544075 ,15717 , 16.167 ,  3.516 ,  3.255 ,0.319763
35 ,35.116692 ,17127 , 15.514 ,  3.974 ,  5.133 ,0.348450
40 ,35.753269 ,18353 , 12.943 ,  3.229 ,  3.320 ,0.373393
45 ,36.143345 ,19816 , 17.201 ,  5.439 ,  3.429 ,0.403158
50 ,36.543514 ,21044 , 12.522 ,  3.150 ,  3.406 ,0.428141
55 ,36.856014 ,22366 , 12.436 ,  3.105 ,  3.432 ,0.455037
60 ,37.209599 ,23935 , 12.439 ,  3.163 ,  3.489 ,0.486959
65 ,37.629086 ,26128 , 14.765 ,  4.928 ,  6.132 ,0.531576
70 ,38.056595 ,28588 , 14.511 ,  3.907 ,  4.180 ,0.581624
75 ,38.486942 ,31631 , 16.524 ,  5.555 ,  4.598 ,0.643534
80 ,39.127823 ,36722 , 14.777 ,  3.766 ,  6.549 ,0.747111
85 ,39.765388 ,43820 , 16.644 ,  3.290 ,  4.181 ,0.891520
90 ,40.484226 ,57855 , 13.143 ,  3.167 ,  4.960 ,1.177063
95 ,41.706940 ,91480 , 13.462 ,  3.188 ,  6.017 ,1.861165
100 ,44.735821 ,219665 , 12.783 ,  3.269 ,  9.746 ,4.469096
