0 ,17.248095 ,146106 ,255.430 , 64.074 , 58.298 ,0.140920
5 ,21.027887 ,180456 ,255.374 , 62.861 , 76.587 ,0.174051
10 ,26.297373 ,256248 ,260.956 , 64.832 , 63.858 ,0.247153
15 ,28.076420 ,327996 ,264.119 , 68.131 , 66.465 ,0.316354
20 ,29.234640 ,392047 ,277.595 , 70.137 , 68.674 ,0.378132
25 ,30.036392 ,452402 ,269.681 , 66.616 , 73.622 ,0.436345
30 ,30.609470 ,507785 ,264.239 , 68.628 , 74.826 ,0.489762
35 ,31.138981 ,562146 ,264.629 , 67.211 , 87.471 ,0.542193
40 ,31.457926 ,607037 ,262.786 , 65.472 , 80.587 ,0.585491
45 ,31.814880 ,657913 ,272.657 , 67.044 , 78.678 ,0.634561
50 ,32.163189 ,702464 ,263.021 , 65.621 , 90.032 ,0.677531
55 ,32.502399 ,748773 ,261.392 , 67.267 , 92.157 ,0.722196
60 ,32.851971 ,807303 ,269.988 , 71.214 , 85.026 ,0.778649
65 ,33.275997 ,879675 ,257.633 , 63.350 , 83.587 ,0.848452
70 ,33.781311 ,969369 ,258.181 , 63.655 , 84.135 ,0.934962
75 ,34.285271 ,1070663 ,289.900 , 89.029 , 88.983 ,1.032661
80 ,35.035904 ,1227683 ,258.906 , 63.979 , 91.914 ,1.184108
85 ,35.988354 ,1447707 ,257.556 , 63.282 , 97.794 ,1.396322
90 ,37.267841 ,1830305 ,259.217 , 63.594 ,107.801 ,1.765340
95 ,39.398796 ,2682374 ,262.005 , 64.123 ,128.637 ,2.587166
100 ,42.706760 ,5396821 ,268.938 , 67.112 ,228.071 ,5.205267
